,doi,title,pubDate,githubLink,fileName,issues_1,issues_2,issues_3
0,https://doi.org/10.1186/s12859-023-05599-0,"ICON-GEMs: integration of co-expression network in genome-scale metabolic models, shedding light through systems biology",2023-12-21,https://github.com/ThummaratPaklao/ICOM-GEMs,,,,
1,https://doi.org/10.1186/s12859-023-05624-2,IgMAT: immunoglobulin sequence multi-species annotation tool for any species including those with incomplete antibody annotation or unusual characteristics,2023-12-21,https://github.com/TPI-Immunogenetics/igmat,,,,
2,https://doi.org/10.1186/s12859-023-05598-1,Injectiondesign: web service of plate design with optimized stratified block randomization for modern GC/LC-MS-based sample preparation,2023-12-20,https://github.com/CSi-Studio/InjectionDesign,,,,
3,https://doi.org/10.1186/s12859-023-05613-5,PAPerFly: Partial Assembly-based Peak Finder for ab initio binding site reconstruction,2023-12-19,https://github.com/Caeph/paperfly,,,,
4,https://doi.org/10.1186/s12859-023-05613-5,PAPerFly: Partial Assembly-based Peak Finder for ab initio binding site reconstruction,2023-12-19,https://github.com/gmarcais/Jellyfish,,,,
5,https://doi.org/10.1186/s12859-023-05613-5,PAPerFly: Partial Assembly-based Peak Finder for ab initio binding site reconstruction,2023-12-19,https://github.com/GATB/bcalm,,,,
6,https://doi.org/10.1186/s12859-023-05601-9,BioEGRE: a linguistic topology enhanced method for biomedical relation extraction based on BioELECTRA and graph pointer neural network,2023-12-19,https://github.com/zxw1995shawn/BioEGRE,,,,
7,https://doi.org/10.1186/s12859-023-05606-4,PEPMatch: a tool to identify short peptide sequence matches in large sets of proteins,2023-12-18,https://github.com/IEDB/NmerMatch,,,,
8,https://doi.org/10.1186/s12859-023-05606-4,PEPMatch: a tool to identify short peptide sequence matches in large sets of proteins,2023-12-18,https://github.com/IEDB/PEPMatch,,,,
9,https://doi.org/10.1186/s12859-023-05618-0,GPDRP: a multimodal framework for drug response prediction with graph transformer,2023-12-17,https://github.com/yyk124/GPDRP,,,,
10,https://doi.org/10.1186/s12859-023-05615-3,TCGAplot: an R package for integrative pan-cancer analysis and visualization of TCGA multi-omics data,2023-12-17,https://github.com/tjhwangxiong/TCGAplot,,,,
11,https://doi.org/10.1186/s12859-023-05597-2,A compressed large language model embedding dataset of ICD 10 CM descriptions,2023-12-17,https://github.com/kaneplusplus/icd-10-cm-embedding,,,,
12,https://doi.org/10.1186/s12859-023-05597-2,A compressed large language model embedding dataset of ICD 10 CM descriptions,2023-12-17,https://github.com/jkrijthe/Rtsne,,,,
13,https://doi.org/10.1186/s12859-023-05597-2,A compressed large language model embedding dataset of ICD 10 CM descriptions,2023-12-17,https://github.com/tidyverse/stringr,,,,
14,https://doi.org/10.1186/s12859-023-05608-2,Cellstitch: 3D cellular anisotropic image segmentation via optimal transport,2023-12-15,https://github.com/imyiningliu/cellstitch,,,,
